class,frequency
Q101352,439
Q11173,1124
Q11266439,730
Q13100073,524
Q13433827,432
Q13442814,33845
Q16521,3018
Q318,1843
Q3305213,499
Q35120,2391
Q4167410,1256
Q4167836,4388
Q486972,560
Q5,8763
Q523,3106
Q79007,565
Q8502,478
other,20382
