class,frequency
Q101352,438
Q11173,1093
Q11266439,762
Q13100073,529
Q13433827,465
Q13442814,33990
Q16521,2953
Q2668072,496
Q318,1892
Q3305213,473
Q35120,2387
Q4167410,1217
Q4167836,4488
Q486972,514
Q5,8645
Q523,2941
Q79007,541
Q8502,499
other,20113
